model_name,display_name,threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1_score,val_roc_auc,val_TP,val_FP,val_TN,val_FN
resnet50,ResNet50,0.73,0.880718954248366,0.7236842105263158,0.514018691588785,0.9584158415841584,0.6010928961748634,0.8727491440732859,55,21,484,52
resnet50,ResNet50,0.74,0.880718954248366,0.7297297297297297,0.5046728971962616,0.9603960396039604,0.5966850828729282,0.8727491440732859,54,20,485,53
resnet50,ResNet50,0.75,0.8790849673202614,0.726027397260274,0.4953271028037383,0.9603960396039604,0.5888888888888889,0.8727491440732859,53,20,485,54
resnet50,ResNet50,0.76,0.8823529411764706,0.7464788732394366,0.4953271028037383,0.9643564356435643,0.5955056179775281,0.8727491440732859,53,18,487,54
resnet50,ResNet50,0.77,0.8823529411764706,0.7536231884057971,0.48598130841121495,0.9663366336633663,0.5909090909090909,0.8727491440732859,52,17,488,55
resnet50,ResNet50,0.78,0.8839869281045751,0.7647058823529411,0.48598130841121495,0.9683168316831683,0.5942857142857143,0.8727491440732859,52,16,489,55
resnet50,ResNet50,0.79,0.8856209150326797,0.7846153846153846,0.4766355140186916,0.9722772277227723,0.5930232558139535,0.8727491440732859,51,14,491,56
resnet50,ResNet50,0.8,0.880718954248366,0.7741935483870968,0.4485981308411215,0.9722772277227723,0.5680473372781065,0.8727491440732859,48,14,491,59
resnet50,ResNet50,0.81,0.8774509803921569,0.7758620689655172,0.4205607476635514,0.9742574257425742,0.5454545454545454,0.8727491440732859,45,13,492,62
resnet50,ResNet50,0.82,0.8774509803921569,0.7962962962962963,0.40186915887850466,0.9782178217821782,0.5341614906832298,0.8727491440732859,43,11,494,64
resnet50,ResNet50,0.83,0.8741830065359477,0.7884615384615384,0.38317757009345793,0.9782178217821782,0.5157232704402516,0.8727491440732859,41,11,494,66
resnet50,ResNet50,0.84,0.8725490196078431,0.7843137254901961,0.37383177570093457,0.9782178217821782,0.5063291139240507,0.8727491440732859,40,11,494,67
resnet50,ResNet50,0.85,0.8709150326797386,0.7916666666666666,0.35514018691588783,0.9801980198019802,0.49032258064516127,0.8727491440732859,38,10,495,69
resnet50,ResNet50,0.86,0.8676470588235294,0.7954545454545454,0.32710280373831774,0.9821782178217822,0.46357615894039733,0.8727491440732859,35,9,496,72
resnet50,ResNet50,0.87,0.8676470588235294,0.8095238095238095,0.3177570093457944,0.9841584158415841,0.4563758389261745,0.8727491440732859,34,8,497,73
resnet50,ResNet50,0.88,0.8676470588235294,0.8095238095238095,0.3177570093457944,0.9841584158415841,0.4563758389261745,0.8727491440732859,34,8,497,73
resnet50,ResNet50,0.89,0.8709150326797386,0.85,0.3177570093457944,0.9881188118811881,0.46258503401360546,0.8727491440732859,34,6,499,73
resnet50,ResNet50,0.9,0.8741830065359477,0.9166666666666666,0.308411214953271,0.994059405940594,0.46153846153846156,0.8727491440732859,33,3,502,74
resnet50,ResNet50,0.91,0.8741830065359477,0.9166666666666666,0.308411214953271,0.994059405940594,0.46153846153846156,0.8727491440732859,33,3,502,74
resnet50,ResNet50,0.92,0.8676470588235294,0.90625,0.27102803738317754,0.994059405940594,0.4172661870503597,0.8727491440732859,29,3,502,78
resnet50,ResNet50,0.93,0.8643790849673203,0.9285714285714286,0.24299065420560748,0.996039603960396,0.3851851851851852,0.8727491440732859,26,2,503,81
resnet50,ResNet50,0.94,0.8643790849673203,0.9615384615384616,0.2336448598130841,0.998019801980198,0.37593984962406013,0.8727491440732859,25,1,504,82
resnet50,ResNet50,0.95,0.8611111111111112,0.9583333333333334,0.21495327102803738,0.998019801980198,0.3511450381679389,0.8727491440732859,23,1,504,84
resnet50,ResNet50,0.96,0.8578431372549019,0.9545454545454546,0.19626168224299065,0.998019801980198,0.32558139534883723,0.8727491440732859,21,1,504,86
